Model,Scenario,Region,Variable,Unit,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|CF4,kt CF4/yr,10.87,12.74617381,10.35831623,8.836385033,7.858937839,7.229173205,6.82901026,6.573168377,6.117901026,6.117901026
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|CH4,Mt CH4/yr,388.0722491,418.454212,471.3307935,515.545705,558.9742742,602.3185293,647.1294055,693.382453,735.3231926,777.7321923
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|CH4,Mt CH4/yr,388.0722491,403.0898871,241.7807998,193.8313375,181.4657894,187.9292218,185.0830376,197.1374947,202.8797436,213.6213256
GCAM4,SSP4-34,World,CMIP6 Emissions|CH4,Mt CH4/yr,388.0727952,432.5975376,394.0762978,410.8298273,412.591493,414.8247429,413.6161453,405.5906437,390.2753926,375.7093651
GCAM4,SSP4-60,World,CMIP6 Emissions|CH4,Mt CH4/yr,388.0727952,432.5975376,477.6496348,507.9739338,522.5725325,531.7666967,530.5117838,517.3999385,502.6564275,491.6345353
IMAGE,SSP1-19,World,CMIP6 Emissions|CH4,Mt CH4/yr,388.0727952,358.9077547,243.0270204,200.6128619,170.1968619,157.5588972,146.4597035,132.2473973,120.7643061,111.7212461
IMAGE,SSP1-26,World,CMIP6 Emissions|CH4,Mt CH4/yr,388.0727952,347.490968,285.8521086,242.7901478,211.1087996,190.8915413,166.4363118,139.3121684,130.1296863,122.1953429
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|CH4,Mt CH4/yr,388.0722491,388.0905727,399.4462451,382.7967462,357.1669388,329.3214364,316.6390397,302.9072835,298.816324,295.1529366
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|CH4,Mt CH4/yr,388.0727952,397.4643943,454.46756,542.2927371,262.3457777,164.7078827,139.0177538,128.0050555,117.1843394,107.6943738
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|CH4,Mt CH4/yr,388.0727952,397.4643943,454.46756,542.2927371,590.2976395,597.9101789,597.1284131,568.9790404,513.3308166,482.1454849
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|CO2,Mt CO2/yr,39148.75802,44808.03822,52847.35932,58497.96983,62904.05862,66568.36762,70041.97857,73405.22592,77799.04942,82725.83312
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|CO2,Mt CO2/yr,39148.75802,44844.69164,53046.20948,59111.77019,63754.72334,68187.41017,72401.34908,76582.42292,80950.52842,85832.69212
GCAM4,SSP4-34,World,CMIP6 Emissions|CO2,Mt CO2/yr,39152.7263,39076.31954,34459.29945,27739.10938,19838.76825,15055.82339,10855.73651,3714.680288,-5959.37661,-14816.94541
GCAM4,SSP4-60,World,CMIP6 Emissions|CO2,Mt CO2/yr,39152.7263,39076.3221,45167.91329,48142.92541,48377.86749,47264.54061,44673.58011,37400.44013,29631.14729,21925.01002
IMAGE,SSP1-19,World,CMIP6 Emissions|CO2,Mt CO2/yr,39152.7263,39693.72645,22847.27092,10475.08882,2050.361558,-1525.978317,-4476.970149,-7308.782579,-10565.02283,-13889.78755
IMAGE,SSP1-26,World,CMIP6 Emissions|CO2,Mt CO2/yr,39152.7263,39804.01343,34734.42365,26509.18269,17963.53911,10527.97866,4476.328323,-3285.043271,-8385.182965,-8617.78622
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|CO2,Mt CO2/yr,39148.75802,40647.5299,43476.06255,44252.90003,43462.19004,40196.48483,35235.43373,26838.37345,16324.39156,9682.858794
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|CO2,Mt CO2/yr,39152.7263,43712.62858,55300.01663,68774.62751,50319.095,16582.66824,-5768.061957,-14855.33278,-18556.24498,-20311.38198
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|CO2,Mt CO2/yr,39152.7263,43712.34856,55296.58323,68775.6982,83298.21994,100338.6062,116805.2493,129647.035,130576.2388,126287.3097
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|CO,Mt CO/yr,934.2998008,968.1999428,985.3938279,1002.73395,996.0363135,969.819813,946.5924811,926.1327891,919.4180303,915.425024
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|CO,Mt CO/yr,934.2998008,925.4767859,838.2236067,732.3764457,602.4699511,566.4256959,532.0604082,498.9847013,470.975278,438.75404
GCAM4,SSP4-34,World,CMIP6 Emissions|CO,Mt CO/yr,934.3498844,956.204008,938.5006056,936.0021263,913.7738285,884.4111528,900.6958986,844.7712505,669.5511357,522.7141611
GCAM4,SSP4-60,World,CMIP6 Emissions|CO,Mt CO/yr,934.3498844,956.204008,892.2189451,861.6109161,819.2219787,764.0582568,723.4575921,656.1275388,604.0856998,571.0949125
IMAGE,SSP1-19,World,CMIP6 Emissions|CO,Mt CO/yr,934.3498844,794.3677906,526.4592605,515.6116147,446.5103589,415.5359583,396.2236858,374.055036,362.7392117,346.1417159
IMAGE,SSP1-26,World,CMIP6 Emissions|CO,Mt CO/yr,934.3498844,789.8489937,563.510468,534.2436816,502.8316893,472.538404,451.5371377,418.7164544,393.5288083,353.2759284
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|CO,Mt CO/yr,934.2998008,882.5189619,849.8934867,796.7439794,731.2692655,653.7747616,577.6097427,500.6184377,428.446884,384.9213039
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|CO,Mt CO/yr,934.3498844,884.1610727,754.6087067,706.1967692,598.6766901,544.4024894,491.1755343,460.375397,444.4929911,435.3778831
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|CO,Mt CO/yr,934.3498844,884.1610727,754.6087067,706.1967692,671.9513938,675.5913983,666.5422064,653.7505786,616.606657,576.6455779
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|HFC,Mt CO2-equiv/yr,940.62,1179.040384,1391.97641,1599.49614,1773.893377,1873.280145,1995.517973,2144.6758,2273.7397,2428.6479
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|HFC,Mt CO2-equiv/yr,940.62,1179.040384,1391.97641,1599.49614,1773.893377,1873.280145,1995.517973,2144.6758,2273.7397,2428.6479
GCAM4,SSP4-34,World,CMIP6 Emissions|HFC,Mt CO2-equiv/yr,940.62,853.2093823,279.0738546,142.7800481,55.3412919,54.85188757,53.53368102,51.3847978,51.86501548,52.42309847
GCAM4,SSP4-60,World,CMIP6 Emissions|HFC,Mt CO2-equiv/yr,940.62,853.2093823,2174.991428,2291.915719,2070.474166,1558.045799,993.7576308,502.8662903,212.4936945,100.747727
IMAGE,SSP1-19,World,CMIP6 Emissions|HFC,Mt CO2-equiv/yr,940.62,1259.805549,218.541929,115.7906965,130.1342514,139.4253331,150.4597239,160.6815033,165.3829041,158.8883972
IMAGE,SSP1-26,World,CMIP6 Emissions|HFC,Mt CO2-equiv/yr,940.62,1239.204102,1096.43214,205.1848578,128.4090151,138.1649035,149.7637305,160.6815033,165.3829041,158.8883972
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|HFC,Mt CO2-equiv/yr,940.62,1348.662503,1489.246139,1369.512308,1197.400205,1275.998168,1324.993723,1352.661315,1398.666468,1329.873201
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|HFC,Mt CO2-equiv/yr,940.62,1334.101097,2189.74243,2669.129008,1722.771324,115.9406014,140.6982372,161.665,168.33,169.725
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|HFC,Mt CO2-equiv/yr,940.62,1334.101097,2189.74243,2669.129008,3335.424381,4143.912799,5056.887824,5504.05,5347.5,5049.9
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|N2O,kt N2O/yr,10900,11774.92992,13291.80518,14526.6103,15634.91166,16637.95545,17624.30129,18581.107,19626.7587,20654.0842
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|N2O,kt N2O/yr,10900,11779.95734,13304.9363,14549.28172,15656.19517,16670.83831,17666.63526,18633.686,19678.6478,20708.4415
GCAM4,SSP4-34,World,CMIP6 Emissions|N2O,kt N2O/yr,10900,11102.48038,11224.11159,11883.66837,12508.38739,13189.16604,13911.63508,14614.62793,15071.88616,15110.86945
GCAM4,SSP4-60,World,CMIP6 Emissions|N2O,kt N2O/yr,10900,11102.48038,13040.11195,13974.92902,14564.53539,14993.66711,15257.87924,15396.40346,15676.95973,16009.75416
IMAGE,SSP1-19,World,CMIP6 Emissions|N2O,kt N2O/yr,10900,10706.38483,8393.759091,8376.573664,8073.585197,7941.611765,7958.151734,7978.923965,8204.736256,8339.071915
IMAGE,SSP1-26,World,CMIP6 Emissions|N2O,kt N2O/yr,10900,10284.46531,8911.222121,8215.966059,7941.228624,7824.673181,7824.800801,8025.501323,8544.293734,8357.017506
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|N2O,kt N2O/yr,10900,11322.85283,12208.75123,12623.76738,12586.93918,12218.56903,11545.71931,10362.63632,9524.759817,8732.334443
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|N2O,kt N2O/yr,10900,11732.67183,12646.76509,13379.85963,9698.297559,12211.51074,12770.25155,12335.128,11840.1138,11485.2995
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|N2O,kt N2O/yr,10900,11732.67183,12646.76509,13379.85963,13171.27149,13436.48602,13434.13788,13488.3164,13223.9784,12725.0119
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|NH3,Mt NH3/yr,65.27929943,68.7402142,74.35698566,78.1413688,80.71400199,82.57354474,83.41856861,83.67151934,85.95385035,88.30837896
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|NH3,Mt NH3/yr,65.27929943,68.12867639,73.18052164,76.11747786,78.22902135,78.90379262,79.29347093,79.31477347,80.93427771,82.91334905
GCAM4,SSP4-34,World,CMIP6 Emissions|NH3,Mt NH3/yr,65.27970313,69.13327995,76.54987415,83.47094122,89.21377398,92.75032807,96.26574985,99.13674155,98.88433756,96.26977007
GCAM4,SSP4-60,World,CMIP6 Emissions|NH3,Mt NH3/yr,65.27970313,69.13327995,76.20921809,82.93819998,89.12423425,93.6736384,98.55477705,103.1083869,105.3282999,107.1378389
IMAGE,SSP1-19,World,CMIP6 Emissions|NH3,Mt NH3/yr,65.27970313,65.13828872,64.85835509,65.21718433,64.73214252,64.10264931,63.8746164,63.61490275,63.51824923,63.18213394
IMAGE,SSP1-26,World,CMIP6 Emissions|NH3,Mt NH3/yr,65.27970313,65.13887952,64.76559972,64.32492209,64.20517559,63.5519483,63.37754031,63.58653628,63.87543453,62.90933976
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|NH3,Mt NH3/yr,65.27929943,67.05305156,72.46013634,75.39340133,76.03126823,75.16462919,72.86454404,69.90733666,67.38414223,65.36957692
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|NH3,Mt NH3/yr,65.27970313,69.6815883,77.16035477,80.89590306,81.16792907,88.67517986,93.21834094,91.7290183,93.56281268,91.93638618
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|NH3,Mt NH3/yr,65.27970313,69.6815883,77.16035477,80.89590306,81.112042,83.39632058,85.24712431,84.53194181,84.64759521,81.52539392
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|NOx,Mt NOx/yr,155.4980605,166.055266,169.6801018,170.8968744,169.8560247,163.4898745,157.4353061,151.2321415,148.0667556,144.4491674
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|NOx,Mt NOx/yr,155.4980605,155.1771844,128.9706107,111.1141872,85.93738295,83.71477711,81.16577081,78.76548291,76.94786774,75.00284992
GCAM4,SSP4-34,World,CMIP6 Emissions|NOx,Mt NOx/yr,155.5204504,152.8518198,137.7339524,119.9590168,100.51366,87.77532445,78.43414567,68.20954357,56.603691,45.98373294
GCAM4,SSP4-60,World,CMIP6 Emissions|NOx,Mt NOx/yr,155.5204504,152.8518198,151.2018867,144.7236326,133.615655,122.9591972,112.2010462,96.90597392,85.02897603,74.64933889
IMAGE,SSP1-19,World,CMIP6 Emissions|NOx,Mt NOx/yr,155.5204504,145.4468828,86.68263834,64.42869688,49.05297311,44.47539268,42.5812852,40.3058255,38.46518438,37.36824307
IMAGE,SSP1-26,World,CMIP6 Emissions|NOx,Mt NOx/yr,155.5204504,144.4386323,109.5054123,92.72702295,74.47795607,67.25605678,59.28399866,49.77235249,44.53157248,41.22996669
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|NOx,Mt NOx/yr,155.4980605,148.0691201,142.0545675,128.0693932,116.7669733,106.7450649,96.22431793,90.09479457,83.04030458,77.69212605
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|NOx,Mt NOx/yr,155.5204504,162.6724355,162.3700491,169.6255963,124.1593689,94.70247739,69.07201471,54.17742774,48.63339647,44.9046269
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|NOx,Mt NOx/yr,155.5204504,162.6724355,162.3700491,169.6255963,161.2140119,164.962472,157.3011426,145.3738754,123.5508147,98.73061709
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|OC,Mt OC/yr,34.74575471,35.84026173,37.48274991,38.29422685,38.37922475,37.54233122,36.56092511,35.55650017,34.75008393,33.7483567
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|OC,Mt OC/yr,34.74575471,34.20742508,32.01341067,27.46590676,22.24814508,20.92799985,19.56267345,18.31945045,17.14927758,15.98361785
GCAM4,SSP4-34,World,CMIP6 Emissions|OC,Mt OC/yr,34.74602487,36.15120534,37.09275431,36.98506786,34.90037626,33.04031734,33.47478898,32.46042947,26.78156531,22.13258378
GCAM4,SSP4-60,World,CMIP6 Emissions|OC,Mt OC/yr,34.74602487,36.15120534,35.11542024,34.89472554,33.8034192,30.97245763,28.46412321,25.51948395,23.04926298,21.96915356
IMAGE,SSP1-19,World,CMIP6 Emissions|OC,Mt OC/yr,34.74602487,29.1462133,20.8163555,20.64151658,17.39208269,16.21991568,15.56894903,14.53201576,13.9669069,12.93970051
IMAGE,SSP1-26,World,CMIP6 Emissions|OC,Mt OC/yr,34.74602487,29.10262081,21.55441694,19.79611202,18.22873029,16.9732896,16.57758756,15.76164204,14.85544975,13.08766115
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|OC,Mt OC/yr,34.74575471,33.41476309,31.74097811,29.71473396,26.86687298,24.08939341,21.12855895,18.12670106,15.69485315,14.53966565
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|OC,Mt OC/yr,34.74602487,30.93208852,24.40339611,21.3377297,18.64365381,17.09606159,16.04712704,15.56784105,14.94404772,14.79659769
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|OC,Mt OC/yr,34.74602487,30.93208852,24.40339611,21.3377297,20.33264236,19.76632665,19.36015826,18.94231516,18.21806399,17.60289656
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|SF6,kt SF6/yr,8.02,8.408829565,8.667218064,8.70749547,8.514224681,8.519284623,8.589496914,8.7306,9.0644,9.5213
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|SF6,kt SF6/yr,8.02,8.408829565,8.667218064,8.70749547,8.514224681,8.519284623,8.589496914,8.7306,9.0644,9.5213
GCAM4,SSP4-34,World,CMIP6 Emissions|SF6,kt SF6/yr,8.02,7.94521312,6.093082264,6.521041783,7.105493047,7.481123723,7.914339086,8.350847583,8.715464415,9.159355446
GCAM4,SSP4-60,World,CMIP6 Emissions|SF6,kt SF6/yr,8.02,7.94521312,8.3681791,8.440596846,7.966048238,8.180106053,8.309659145,8.309306496,7.887701007,7.615001746
IMAGE,SSP1-19,World,CMIP6 Emissions|SF6,kt SF6/yr,8.02,6.597293587,3.09088622,2.704638539,2.21982905,1.933119451,1.661066183,1.375466943,1.139968991,0.89681232
IMAGE,SSP1-26,World,CMIP6 Emissions|SF6,kt SF6/yr,8.02,6.489145574,4.084527828,2.536378263,2.110153773,1.865461073,1.630057068,1.375466943,1.139968991,0.89681232
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|SF6,kt SF6/yr,8.02,8.135749943,3.391018097,3.021534139,2.493844418,2.197512494,1.775939737,1.2753366,0.8765564,0.792157
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|SF6,kt SF6/yr,8.02,8.412660875,9.293878266,9.947924961,6.161710407,1.38509705,1.254881378,1.121,0.9734,0.8071
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|SF6,kt SF6/yr,8.02,8.412660875,9.293878266,9.947924961,10.72065145,11.03276248,11.26123191,11.1,10.84,10.52
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|Sulfur,Mt SO2/yr,100.7450565,98.60215798,99.22155703,99.57091583,99.77785066,95.88289599,91.85516541,87.40315376,83.61622914,78.14737816
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|Sulfur,Mt SO2/yr,100.7450565,92.53488473,77.49477912,64.24937493,45.98243596,43.24656459,40.54703502,37.58653378,34.92361147,32.08722228
GCAM4,SSP4-34,World,CMIP6 Emissions|Sulfur,Mt SO2/yr,100.7711668,88.19117004,71.55922919,55.44118014,39.39183562,30.99626533,25.88227943,21.93655022,19.44880795,17.86245932
GCAM4,SSP4-60,World,CMIP6 Emissions|Sulfur,Mt SO2/yr,100.7711668,88.19117004,89.69571555,85.8414675,78.38804084,70.85064611,61.66732441,48.56766225,38.75774704,31.45372158
IMAGE,SSP1-19,World,CMIP6 Emissions|Sulfur,Mt SO2/yr,100.7711668,79.54915731,36.45590214,23.62259912,21.62837225,20.66995109,18.40637563,15.50413153,12.62196851,9.461408733
IMAGE,SSP1-26,World,CMIP6 Emissions|Sulfur,Mt SO2/yr,100.7711668,80.13160028,51.73693597,35.08216214,26.73060612,22.04028555,17.74824629,13.26096599,10.30305676,8.070347709
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|Sulfur,Mt SO2/yr,100.7450565,80.0811064,78.9334725,66.50116354,53.2989375,46.0017566,41.91450594,38.50579276,33.16087278,30.8223939
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|Sulfur,Mt SO2/yr,100.7711668,80.1508129,71.50948976,71.47398015,38.14761641,25.58168661,18.04833173,13.95805819,12.17373409,11.33321824
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|Sulfur,Mt SO2/yr,100.7711668,80.1508129,71.50948976,71.47398015,60.442048,63.86577026,61.39759242,53.29353305,41.93504075,29.51473829
AIM/CGE,SSP3-70 (Baseline),World,CMIP6 Emissions|VOC,Mt VOC/yr,227.2376221,237.0215401,246.670646,250.8658559,256.0145078,252.178651,247.3981458,241.4217923,235.276703,227.9190363
AIM/CGE,SSP3-LowNTCF,World,CMIP6 Emissions|VOC,Mt VOC/yr,227.2376221,228.4699306,217.2212149,196.608091,167.6381491,152.2185355,136.2023983,119.5017138,102.4329627,84.08793274
GCAM4,SSP4-34,World,CMIP6 Emissions|VOC,Mt VOC/yr,227.244819,230.4389971,237.6261986,244.1239576,240.2263051,231.676002,229.781677,217.3680212,185.0728933,158.9524559
GCAM4,SSP4-60,World,CMIP6 Emissions|VOC,Mt VOC/yr,227.244819,230.4389971,228.6030874,231.1748244,225.5830262,217.6674514,207.7799375,196.2504611,187.598213,174.3520212
IMAGE,SSP1-19,World,CMIP6 Emissions|VOC,Mt VOC/yr,227.244819,190.5983563,116.7736408,110.1088696,93.07864333,83.83522942,75.24835043,66.44278154,62.78367333,58.5157368
IMAGE,SSP1-26,World,CMIP6 Emissions|VOC,Mt VOC/yr,227.244819,188.9590557,128.0469307,118.0294533,109.1243344,100.5782341,90.25573947,77.44248537,70.39514081,62.3050563
MESSAGE-GLOBIOM,SSP2-45,World,CMIP6 Emissions|VOC,Mt VOC/yr,227.2376221,218.8551347,214.6058346,208.8717357,197.1529845,179.6069539,162.3620867,146.5635657,130.5978594,120.6987505
REMIND-MAGPIE,SSP5-34-OS,World,CMIP6 Emissions|VOC,Mt VOC/yr,227.244819,229.2341774,218.8062555,209.5656355,178.5493464,158.6649872,134.2843826,115.0017237,106.7436474,104.7317078
REMIND-MAGPIE,SSP5-85 (Baseline),World,CMIP6 Emissions|VOC,Mt VOC/yr,227.244819,229.2341774,218.8062555,209.5656355,204.303785,207.5151861,203.1926634,200.116432,188.573227,163.3127629
